character,level,strokes,grade,freq,onyomi,kunyomi,meanings
術,N3,11,5,350,ジュツ,すべ,art; technique; skill; means; trick; resources; magic
備,N3,12,5,356,ビ,そな.える; そな.わる; つぶさ.に,equip; provision; preparation
宅,N3,6,6,357,タク,,home; house; residence; our house; my husband
害,N3,10,4,358,ガイ,,harm; injury
配,N3,10,3,359,ハイ,くば.る,distribute; spouse; exile; rationing
警,N3,19,6,366,ケイ,いまし.める,admonish; commandment
育,N3,8,3,369,イク,そだ.つ; そだ.ち; そだ.てる; はぐく.む,bring up; grow up; raise; rear
席,N3,10,4,370,セキ,むしろ,seat; mat; occasion; place
訪,N3,11,6,372,ホウ,おとず.れる; たず.ねる; と.う,call on; visit; look up; offer sympathy
乗,N3,9,3,377,ジョウ; ショウ,の.る; -の.り; の.せる,ride; power; multiplication; record; counter for vehicles; board; mount; join
残,N3,10,4,380,ザン; サン,のこ.る; のこ.す; そこな.う; のこ.り,remainder; leftover; balance
想,N3,13,3,381,ソウ; ソ,おも.う,idea; thought; conception; think
声,N3,7,2,388,セイ; ショウ,こえ; こわ-,voice
念,N3,8,4,390,ネン,,wish; sense; idea; thought; feeling; desire; attention
助,N3,7,3,397,ジョ,たす.ける; たす.かる; す.ける; すけ,help; rescue; assist
労,N3,7,4,398,ロウ,ろう.する; いたわ.る; いた.ずき; ねぎら; つか.れる; ねぎら.う,labor; thank for; reward for; toil; trouble
例,N3,8,4,399,レイ,たと.える,example; custom; usage; precedent
然,N3,12,4,401,ゼン; ネン,しか; しか.り; しか.し; さ,sort of thing; so; if so; in that case; well
限,N3,9,5,405,ゲン,かぎ.る; かぎ.り; -かぎ.り,limit; restrict; to best of ability
追,N3,9,3,411,ツイ,お.う,chase; drive away; follow; pursue; meanwhile
商,N3,11,3,413,ショウ,あきな.う,make a deal; selling; dealing in; merchant
葉,N3,12,3,414,ヨウ,は,leaf; plane; lobe; needle; blade; spear; counter for flat things; fragment; piece
伝,N3,6,4,416,デン; テン,つた.わる; つた.える; つた.う; つだ.う; -づた.い; つて,transmit; go along; walk along; follow; report; communicate; legend; tradition
働,N3,13,4,417,ドウ,はたら.く,work; (kokuji)
形,N3,7,2,418,ケイ; ギョウ,かた; -がた; かたち; なり,shape; form; style
景,N3,12,4,419,ケイ,,scenery; view
落,N3,12,3,420,ラク,お.ちる; お.ち; お.とす,fall; drop; come down; village; hamlet
好,N3,6,4,423,コウ,この.む; す.く; よ.い; い.い,fond; pleasing; like something
退,N3,9,6,424,タイ,しりぞ.く; しりぞ.ける; ひ.く; の.く; の.ける; ど.く,retreat; withdraw; retire; resign; repel; expel; reject
頭,N3,16,2,433,トウ; ズ; ト,あたま; かしら; -がしら; かぶり,head; counter for large animals
負,N3,9,3,443,フ,ま.ける; ま.かす; お.う,defeat; negative; -; minus; bear; owe; assume a responsibility
渡,N3,12,8,446,ト,わた.る; -わた.る; わた.す,transit; ford; ferry; cross; import; deliver; diameter; migrate
失,N3,5,4,447,シツ,うしな.う; う.せる,lose; error; fault; disadvantage; loss
差,N3,10,4,449,サ,さ.す; さ.し,distinction; difference; variation; discrepancy; margin; balance
末,N3,5,4,456,マツ; バツ,すえ; うら; うれ,end; close; tip; powder; posterity
守,N3,6,3,457,シュ; ス,まも.る; まも.り; もり; -もり; かみ,guard; protect; defend; obey
若,N3,8,6,458,ジャク; ニャク; ニャ,わか.い; わか-; も.しくわ; も.し; も.しくは; ごと.し,young; if; perhaps; possibly; low number; immature
種,N3,14,4,461,シュ,たね; -ぐさ,species; kind; class; variety; seed
美,N3,9,3,462,ビ; ミ,うつく.しい,beauty; beautiful
命,N3,8,3,465,メイ; ミョウ,いのち,fate; command; decree; destiny; life; appoint
福,N3,13,3,467,フク,,blessing; fortune; luck; wealth
望,N3,11,4,470,ボウ; モウ,のぞ.む; もち,ambition; full moon; hope; desire; aspire to; expect
非,N3,8,5,472,ヒ,あら.ず,un-; mistake; negative; injustice; non-
観,N3,18,4,476,カン,み.る; しめ.す,outlook; look; appearance; condition; view
察,N3,14,4,477,サツ,,guess; presume; surmise; judge; understand
段,N3,9,6,479,ダン; タン,,grade; steps; stairs
横,N3,15,3,480,オウ,よこ,sideways; side; horizontal; width; woof; unreasonable; perverse
深,N3,11,3,484,シン,ふか.い; -ぶか.い; ふか.まる; ふか.める; み-,deep; heighten; intensify; strengthen
申,N3,5,3,492,シン,もう.す; もう.し-; さる,have the honor to; sign of the monkey; 3-5PM; ninth sign of Chinese zodiac
様,N3,14,3,493,ヨウ; ショウ,さま; さん,Esq.; way; manner; situation; polite suffix
財,N3,10,5,494,ザイ; サイ; ゾク,たから,property; money; wealth; assets
港,N3,12,3,495,コウ,みなと,harbor
識,N3,19,5,496,シキ,し.る; しる.す,discriminating; know; write
呼,N3,8,6,498,コ,よ.ぶ,call; call out to; invite
達,N3,12,4,500,タツ; ダ,-たち,accomplished; reach; arrive; attain
良,N3,7,4,501,リョウ,よ.い; -よ.い; い.い; -い.い,good; pleasing; skilled
候,N3,10,4,510,コウ,そうろう,climate; season; weather; wait for; expect
程,N3,12,5,514,テイ,ほど; -ほど,extent; degree; law; formula; distance; limits; amount
満,N3,12,4,515,マン; バン,み.ちる; み.つ; み.たす,full; fullness; enough; satisfy
敗,N3,11,4,516,ハイ,やぶ.れる,failure; defeat; reversal
値,N3,10,6,518,チ,ね; あたい,price; cost; value
突,N3,8,8,521,トツ; カ,つ.く,stab; protruding; thrust; pierce; prick; collision; sudden
光,N3,6,2,527,コウ,ひか.る; ひかり,ray; light
路,N3,13,3,529,ロ; ル,-じ; みち,path; route; road; distance
科,N3,9,2,531,カ,,department; course; section
積,N3,16,4,541,セキ,つ.む; -づ.み; つ.もる; つ.もり,volume; product (x*y); acreage; contents; pile up; stack; load; amass
他,N3,5,3,543,タ,ほか,other; another; the others
処,N3,5,6,547,ショ,ところ; -こ; お.る,dispose; manage; deal with; sentence; condemn; act; behave; place
太,N3,4,2,552,タイ; タ,ふと.い; ふと.る,plump; thick; big around
客,N3,9,3,557,キャク; カク,,guest; visitor; customer; client
否,N3,7,6,561,ヒ,いな; いや,negate; no; noes; refuse; decline; deny
師,N3,10,5,563,シ,いくさ,expert; teacher; master; model; exemplar; army (incl. counter); war
登,N3,12,3,566,トウ; ト; ドウ; ショウ; チョウ,のぼ.る; あ.がる,ascend; climb up
易,N3,8,5,571,エキ; イ,やさ.しい; やす.い,easy; ready to; simple; fortune-telling; divination
速,N3,10,3,576,ソク,はや.い; はや-; はや.める; すみ.やか,quick; fast
存,N3,6,6,577,ソン; ゾン,ながら.える; あ.る; たも.つ; と.う,exist; suppose; be aware of; believe; feel
飛,N3,9,4,580,ヒ,と.ぶ; と.ばす; -と.ばす,fly; skip (pages); scatter
殺,N3,10,5,581,サツ; サイ; セツ,ころ.す; -ごろ.し; そ.ぐ; あや.める,kill; murder; butcher; slice off; split; diminish; reduce; spoil
号,N3,5,3,585,ゴウ,さけ.ぶ; よびな,nickname; number; item; title; pseudonym; name; call
単,N3,9,4,586,タン,ひとえ,simple; one; single; merely
座,N3,10,6,588,ザ,すわ.る,squat; seat; cushion; gathering; sit
破,N3,10,5,590,ハ,やぶ.る; やぶ.れる; わ.れる,rend; rip; tear; break; destroy; defeat; frustrate
除,N3,10,6,594,ジョ; ジ,のぞ.く; -よ.け,exclude; division (x/3); remove; abolish; cancel; except
完,N3,7,4,595,カン,,perfect; completion; end
降,N3,10,6,596,コウ; ゴ,お.りる; お.ろす; ふ.る; ふ.り; くだ.る; くだ.す,descend; precipitate; fall; surrender
責,N3,11,5,598,セキ,せ.める,blame; condemn; censure
捕,N3,10,8,604,ホ,と.らえる; と.らわれる; と.る; とら.える; とら.われる; つか.まえる; つか.まる,catch; capture
危,N3,6,6,606,キ,あぶ.ない; あや.うい; あや.ぶむ,dangerous; fear; uneasy
給,N3,12,4,615,キュウ,たま.う; たも.う; -たま.え,salary; wage; gift; allow; grant; bestow on
苦,N3,8,3,623,ク,くる.しい; -ぐる.しい; くる.しむ; くる.しめる; にが.い; にが.る,suffering; trial; worry; hardship; feel bitter; scowl
迎,N3,7,8,625,ゲイ,むか.える,welcome; meet; greet
園,N3,13,2,628,エン,その,park; garden; yard; farm
